Sc0 	0.2512 	90.0296 	0.3290 	39.4021 	0.4235 	14.3222 	-0.0043
Sc1 	0.4889 	51.1603 	0.5203 	14.0764 	-0.0286 	0.1792 	0.0185
Sc2 	0.5048 	31.4035 	0.5186 	10.9897 	-0.0241 	1.1831 	0.0000
Ti0 	0.4657 	33.5898 	0.5490 	9.8791 	-0.0291 	0.3232 	0.0123
Ti1 	0.5093 	36.7033 	0.5032 	10.3713 	-0.0263 	0.3106 	0.0116
Ti2 	0.5091 	24.9763 	0.5162 	8.7569 	-0.0281 	0.9160 	0.0015
Ti3 	0.3571 	22.8413 	0.6688 	8.9306 	-0.0354 	0.4833 	0.0099
V0 	0.4086 	28.8109 	0.6077 	8.5437 	-0.0295 	0.2768 	0.0123
V1 	0.4444 	32.6479 	0.5683 	9.0971 	-0.2285 	0.0218 	0.2150
V2 	0.4085 	23.8526 	0.6091 	8.2456 	-0.1676 	0.0415 	0.1496
V3 	0.3598 	19.3364 	0.6632 	7.6172 	-0.3064 	0.0296 	0.2835
V4 	0.3106 	16.8160 	0.7198 	7.0487 	-0.0521 	0.3020 	0.0221
Cr0 	0.1135 	45.1990 	0.3481 	19.4931 	0.5477 	7.3542 	-0.0092
Cr1 	-0.0977 	0.0470 	0.4544 	26.0054 	0.5579 	7.4892 	0.0831
Cr2 	1.2024 	-0.0055 	0.4158 	20.5475 	0.6032 	6.9560 	-1.2218
Cr3 	-0.3094 	0.0274 	0.3680 	17.0355 	0.6559 	6.5236 	0.2856
Cr4 	-0.2320 	0.0433 	0.3101 	14.9518 	0.7182 	6.1726 	0.2042
Mn0 	0.2438 	24.9629 	0.1472 	15.6728 	0.6189 	6.5403 	-0.0105
Mn1 	-0.0138 	0.4213 	0.4231 	24.6680 	0.5905 	6.6545 	-0.0010
Mn2 	0.4220 	17.6840 	0.5948 	6.0050 	0.0043 	-0.6090 	-0.0219
Mn3 	0.4198 	14.2829 	0.6054 	5.4689 	0.9241 	-0.0088 	-0.9498
Mn4 	0.3760 	12.5661 	0.6602 	5.1329 	-0.0372 	0.5630 	0.0011
Fe0 	0.0706 	35.0085 	0.3589 	15.3583 	0.5819 	5.5606 	-0.0114
Fe1 	0.1251 	34.9633 	0.3629 	15.5144 	0.5223 	5.5914 	-0.0105
Fe2 	0.0263 	34.9597 	0.3668 	15.9435 	0.6188 	5.5935 	-0.0119
Fe3 	0.3972 	13.2442 	0.6295 	4.9034 	-0.0314 	0.3496 	0.0044
Fe4 	0.3782 	11.3800 	0.6556 	4.5920 	-0.0346 	0.4833 	0.0005
Co0 	0.4139 	16.1616 	0.6013 	4.7805 	-0.1518 	0.0210 	0.1345
Co1 	0.0990 	33.1252 	0.3645 	15.1768 	0.5470 	5.0081 	-0.0109
Co2 	0.4332 	14.3553 	0.5857 	4.6077 	-0.0382 	0.1338 	0.0179
Co3 	0.3902 	12.5078 	0.6324 	4.4574 	-0.1500 	0.0343 	0.1272
Co4 	0.3515 	10.7785 	0.6778 	4.2343 	-0.0389 	0.2409 	0.0098
Ni0 	-0.0172 	35.7392 	0.3174 	14.2689 	0.7136 	4.5661 	-0.0143
Ni1 	0.0705 	35.8561 	0.3984 	13.8042 	0.5427 	4.3965 	-0.0118
Ni2 	0.0163 	35.8826 	0.3916 	13.2233 	0.6052 	4.3388 	-0.0133
Ni3 	-0.0134 	35.8677 	0.2678 	12.3326 	0.7614 	4.2369 	-0.0162
Ni4 	-0.0090 	35.8614 	0.2776 	11.7904 	0.7474 	4.2011 	-0.0163
Cu0 	0.0909 	34.9838 	0.4088 	11.4432 	0.5128 	3.8248 	-0.0124
Cu1 	0.0749 	34.9656 	0.4147 	11.7642 	0.5238 	3.8497 	-0.0127
Cu2 	0.0232 	34.9686 	0.4023 	11.5640 	0.5882 	3.8428 	-0.0137
Cu3 	0.0031 	34.9074 	0.3582 	10.9138 	0.6531 	3.8279 	-0.0147
Cu4 	-0.0132 	30.6817 	0.2801 	11.1626 	0.7490 	3.8172 	-0.0165
